Product,Price,Brand,Core,RAM,ScrSize,GraphicCard,Drive_Type,Capacity,OperSystem,Weight,Madein,Since,Shop,URL
"Laptop Asus Vivobook Pro M3500QC-L1085T R7 5800H/16GB/512GB SSD/15.6"" OLED/Nvidia RTX 3050 4GB/Win10 (No.00781231)",29999000,Asus,AMD Ryzen 7-5800H 4.4 GHz,16,15.6,NVIDIA GeForce RTX 3050 4GB & AMD Radeon Graphics,SDD,512,Window,1.7,Trung Quốc,2021,FPTShop,https://fptshop.com.vn/may-tinh-xach-tay/asus-vivobook-pro-m3500qc-l1085t-r7-5800h
Laptop Acer Nitro Gaming AN515-57-720A i7 11800H/8GB/512GB SSD/Nvidia RTX3050Ti 4GB/Win11 (No.00783549),30499000,Acer,Intel Core i7-11800H 4.60 GHz,8,15.6,NVIDIA GeForce RTX 3050Ti 4 GB & Intel UHD Graphics,SDD,512,Window,2.2,Trung Quốc,2021,FPTShop,https://fptshop.com.vn/may-tinh-xach-tay/acer-nitro-gaming-an515-57-720a-i7-11800h
"MacBook Air 13"" 2020 M1 256GB (No.00725095)",28999000,Macbook,Apple M1 3.2GHz,8,13.3,M1 7-Core GPU,SDD,256,Mac OS,1.3,Trung Quốc,2020,FPTShop,https://fptshop.com.vn/may-tinh-xach-tay/macbook-air-13-2020-m1-256gb
"Laptop Gigabyte Gaming G5 MD i5 11400H/16GB/ 512GB/15.6""FHD/RTX3050Ti 4GB/Win 10 (No.00773264)",29999000,GIGABYTE,Intel Core i5-11400H 4.50 GHz,16,15.6,NVIDIA GeForce RTX 3050Ti 4 GB & Intel UHD Graphics,SDD,512,Window,2.2,Trung Quốc,2021,FPTShop,https://fptshop.com.vn/may-tinh-xach-tay/gigabyte-gaming-g5-md-i5-11400h
Laptop Lenovo Yoga Slim 7 14ITL05 i7 1165G7/16GB/512GB/14”FHD/Win 11 (No.00783880),30299000,Lenovo,Intel Core i7-1165G7 4.70 GHz,16,14,Intel Iris Xe Graphics,SDD,512,Window,1.4,Trung Quốc,2021,FPTShop,https://fptshop.com.vn/may-tinh-xach-tay/lenovo-yoga-slim-7-14itl05-i7-1165g7?he-dieu-hanh=win-11
Laptop Asus TUF Gaming FX706HC-HX009T i7 11800H/ 8GB/512GB SSD/RTX 3050 4GB/Win10 (No.00773699),29999000,Asus,Intel Core i7-11800H 4.60 GHz,8,17.3,NVIDIA GeForce RTX 3050 4GB & Intel Iris Xe Graphics,SDD,512,Window,2.6,Trung Quốc,2021,FPTShop,https://fptshop.com.vn/may-tinh-xach-tay/asus-tuf-gaming-fx706hc-hx009t-i7-11800h
Laptop HP Pavilion Gaming 15 dk1159TX i7 10750H/8GB/512GB+32GB/1650Ti 4GB/Win 10 (No.00750390),27990000,HP,Intel Core i7-10750H 5.00 GHz,8,15.6,NVIDIA GeForce GTX 1650Ti 4 GB & Intel UHD Graphics,SDD,512,Window,2.2,Trung Quốc,2021,FPTShop,https://fptshop.com.vn/may-tinh-xach-tay/hp-pavillion-gaming-15-dk1159tx-i7-10750h
Laptop Asus Gaming TUF FX516PC-HN001T i7 11370H/8GB/512GB SSD/ RTX 3050 4GB/Win10 (No.00773508),28990000,Asus,Intel Core i7-11370H 4.80 GHz,8,15.6,NVIDIA GeForce RTX 3050 4GB & Intel Iris Xe Graphics,SDD,512,Window,2,Trung Quốc,2021,FPTShop,https://fptshop.com.vn/may-tinh-xach-tay/asus-gaming-tuf-fx516pc-hn001t-i7-11370h
"Laptop Asus TUF Gaming FX506HCB-HN141T i7 11800H/8GB/512GB SSD/15.6"" FHD/Nvidia RTX3050 4GB/Win10 (No.00772153)",28499000,Asus,Intel Core i7-11800H 4.60 GHz,8,15.6,NVIDIA GeForce RTX 3050 4GB & Intel UHD Graphics,SDD,512,Window,2.3,Trung Quốc,2021,FPTShop,https://fptshop.com.vn/may-tinh-xach-tay/asus-tuf-gaming-fx506hcb-hn141t-i7-11800h
HP Envy x360 13 ay0069AU R7 4700U/8GB/256GB/13.3FHDTouch/Win 10+Office Home&Student (No.00706730),27199000,HP,AMD Ryzen 7-4700U 4.2GHz,8,13.3,AMD Radeon Graphics,SDD,256,Window,1.3,Trung Quốc,2020,FPTShop,https://fptshop.com.vn/may-tinh-xach-tay/hp-envy-x360-13-ay0069au-r7-4700u
Laptop Acer Nitro Gaming AN515-57-71VV i7 11800H/8GB/512GB SSD/Nvidia RTX3050 4GB/Win11 (No.00783548),28999000,Acer,Intel Core i7-11800H 4.60 GHz,8,15.6,NVIDIA GeForce RTX 3050 4GB & Intel UHD Graphics,SDD,512,Window,2.2,Trung Quốc,2021,FPTShop,https://fptshop.com.vn/may-tinh-xach-tay/acer-nitro-gaming-an515-57-71vv-i7-11800h
"Laptop Asus Zenbook Flip UX363EA-HP532T i5 1135G7/8GB/512GB SSD/13.3"" OLED Touch/Win10 (No.00783669)",27999000,Asus,Intel Core i5-1135G7 4.2GHz,8,13.3,Intel Iris Xe Graphics,SDD,512,Window,1.3,Trung Quốc,2021,FPTShop,https://fptshop.com.vn/may-tinh-xach-tay/asus-zenbook-flip-ux363ea-hp532t-i5-1135g7
"Laptop Asus Zenbook Flip UX363EA-HP726W i5 1135G7/8GB/512GB SSD/13.3"" OLED Touch/Win11 (No.00783670)",27999000,Asus,Intel Core i5-1135G7 4.2GHz,8,13.3,Intel Iris Xe Graphics,SDD,512,Window,1.3,Trung Quốc,2021,FPTShop,https://fptshop.com.vn/may-tinh-xach-tay/asus-zenbook-flip-ux363ea-hp726w-i5-1135g7
"Laptop Asus Vivobook Pro M3500QC-L1105T R5 5600H/8GB/512GB SSD/15.6"" OLED/Nvidia RTX3050 4GB/Win10 (No.00781230)",26599000,Asus,AMD Ryzen 5-5600H 4.2GHz,8,15.6,NVIDIA GeForce RTX 3050 4GB & AMD Radeon Graphics,SDD,512,Window,1.7,Trung Quốc,2021,FPTShop,https://fptshop.com.vn/may-tinh-xach-tay/asus-vivobook-pro-m3500qc-l1105t-r5-5600h
"Laptop Dell Inspiron N3511 i7 1165G7/8GB/512GB/5.6""FHD/MX350 2GB/Win 10+OHS 19 (No.00784632)",26499000,Dell,Intel Core i7-1165G7 4.70 GHz,8,15.6,NVIDIA GeForce MX250 2 GB & Intel Iris Xe Graphics,SDD,512,Window,1.7,Trung Quốc,2021,FPTShop,https://fptshop.com.vn/may-tinh-xach-tay/dell-inspiron-n3511-i7-1165g7
"Laptop Gigabyte U4 UD i7 1195G7/16GB/512GB/14""FHD/Win 11 (No.00784627)",26999000,GIGABYTE,Intel Core i7-1195G7 5GHz,16,14,Intel Iris Xe Graphics,SDD,512,Window,1,Trung Quốc,2021,FPTShop,https://fptshop.com.vn/may-tinh-xach-tay/gigabyte-u4-ud-i7-1195g7
"Laptop Dell Vostro V3400 i7 1165G7/8GB/512GB/14""FHD/VGA MX330 2GB/Win 10 (No.00741402)",25999000,Dell,Intel Core i7-1165G7 4.70 GHz,8,14,NVIDIA GeForce MX330 2 GB & Intel Iris Xe Graphics,SDD,512,Window,1.8,Trung Quốc,2021,FPTShop,https://fptshop.com.vn/may-tinh-xach-tay/dell-vostro-v3400-i7-1165g7
"Laptop Lenovo Yoga 7 14ACN6 R7 5800U/8GB/512GB/14.0""FHD/Win 10 (No.00780897)",26999000,Lenovo,AMD Ryzen 7-5800U 4.4GHz,8,14,AMD Radeon Graphics,SDD,512,Window,1.5,Trung Quốc,2021,FPTShop,https://fptshop.com.vn/may-tinh-xach-tay/lenovo-yoga-7-14acn6-r7-5800u
Laptop HP Probook 440 G8 i7 1165G7 /16GB/512GB/Intel Graphics/14''FHD/Win 10 (No.00756422),25190000,HP,Intel Core i7-1165G7 4.70 GHz,16,14,Intel Iris Xe Graphics,SDD,512,Window,1.4,Trung Quốc,2021,FPTShop,https://fptshop.com.vn/may-tinh-xach-tay/hp-probook-440-g8-i7-1165g7
"Laptop Gigabyte Gaming G5 GD i5 11400H/16GB/ 512GB/15.6""FHD/RTX3050 4GB/Win 10 (No.00783651)",26999000,GIGABYTE,Intel Core i5-11400H 4.50 GHz,16,15.6,NVIDIA GeForce RTX 3050 4GB & Intel UHD Graphics,SDD,512,Window,2.2,Trung Quốc,2021,FPTShop,https://fptshop.com.vn/may-tinh-xach-tay/gigabyte-gaming-g5-gd-i5-11400h
"Laptop Microsoft Surface Pro 7 i5 1035G4/8GB/128GB SSD/12.3"" Touch/Win10 (No.00734878)",25999000,Microsoft,Intel Core i5-1035G4 3.7GHz,8,12.3,Intel Iris Plus Graphics,SDD,128,Window,0.8,Trung Quốc,2019,FPTShop,https://fptshop.com.vn/may-tinh-xach-tay/microsoft-surface-pro-7-core-i5-1035g4?dung-luong=128gb
Laptop ASUS Gaming TUF FX506HCB-HN1138W i5 11400H/8GB/512GB SSD/Nvidia RTX3050_4GB/Win11 (No.00783937),25999000,Asus,Intel Core i5-11400H 4.50 GHz,8,15.6,NVIDIA GeForce RTX 3050 4GB & Intel UHD Graphics,SDD,512,Window,2.3,Trung Quốc,2021,FPTShop,https://fptshop.com.vn/may-tinh-xach-tay/asus-gaming-tuf-fx506hcb-hn1138w-i5-11400h
Laptop Asus Gaming TUF FX506HCB-HN139T i5 11400H/8GB/512GB SSD/ RTX 3050 4GB/Win10 (No.00773509),25990000,Asus,Intel Core i5-11400H 4.50 GHz,8,15.6,NVIDIA GeForce RTX 3050 4GB & Intel UHD Graphics,SDD,512,Window,2.3,Trung Quốc,2021,FPTShop,https://fptshop.com.vn/may-tinh-xach-tay/asus-gaming-tuf-fx506hcb-hn139t-i5-11400h
"Laptop MSI Gaming Bravo 15 B5DD 275VN R7 5800H/8GB/512GB/15.6""FHD/RX5500M 4GB/Win 11 (No.00784626)",25499000,MSI,AMD Ryzen 7-5800H 4.4 GHz,8,15.6,AMD Radeon RX 5500M 4 GB & AMD Radeon Graphics Vega 8,SDD,512,Window,2.4,Trung Quốc,2021,FPTShop,https://fptshop.com.vn/may-tinh-xach-tay/msi-gaming-bravo-15-b5dd-275vn-r7-5800h
"Laptop Dell Inspiron N3501 i7 1165G7/8GB/512GB/GF MX330 2GB/15.6""FHD/Win 10/Office Home&S (No.00775287)",24599000,Dell,Intel Core i7-1165G7 4.70 GHz,8,15.6,NVIDIA GeForce MX330 2 GB & Intel Iris Xe Graphics,SDD,512,Window,2,Trung Quốc,2020,FPTShop,https://fptshop.com.vn/may-tinh-xach-tay/dell-inspiron-n3501-i7-1165g7-win10
"Laptop Fujitsu CH 9C13A1 i5 1135G7/8GB/512GB/13.3""FHD/Win 10 (No.00773584)",23799000,Fujitsu,Intel Core i5-1135G7 4.2GHz,8,13.3,Intel Iris Xe Graphics,SDD,512,Window,1,Trung Quốc,2021,FPTShop,https://fptshop.com.vn/may-tinh-xach-tay/fujitsu-ch-9c13a1-i5-1135g7
Laptop Asus Zenbook UX425EA KI429T i5 1135G7/8GB/512GB SSD/Win 10 (No.00758225),23999000,Asus,Intel Core i5-1135G7 4.2GHz,8,14,Intel Iris Xe Graphics,SDD,512,Window,1.2,Trung Quốc,2021,FPTShop,https://fptshop.com.vn/may-tinh-xach-tay/asus-zenbook-ux425ea-ki429t-i5-1135g7
"Laptop Dell Vostro V5410 i5 11320H/8GB/512GB/14.0""FHD/Win 10+Office Home&Student (No.00783649)",23699000,Dell,Intel Core i5-11320H 3.2GHz,8,14,Intel Iris Xe Graphics,SDD,512,Window,1.4,Trung Quốc,2021,FPTShop,https://fptshop.com.vn/may-tinh-xach-tay/dell-vostro-v5410-i5-11320h
Laptop Acer Nitro Gaming AN515 56 51N4 i5 11300H/8GB/512GB SSD/Nvidia GTX1650 4GB/Win10 (No.00748426),23999000,Acer,Intel Core i5-11300H 4.40 GHz,8,15.6,NVIDIA GeForce GTX 1650 4 GB,SDD,512,Window,2.2,Trung Quốc,2021,FPTShop,https://fptshop.com.vn/may-tinh-xach-tay/acer-nitro-gaming-an515-56-51n4-i5-11300h
Laptop Asus Vivobook A515EP-BQ196T i7 1165G7/8GB/512GB SSD/ MX330 2GB/Win10 (No.00773094),23499000,Asus,Intel Core i7-1165G7 4.70 GHz,8,15.6,NVIDIA GeForce MX330 2 GB & Intel Iris Xe Graphics,SDD,512,Window,1.8,Trung Quốc,2021,FPTShop,https://fptshop.com.vn/may-tinh-xach-tay/asus-vivobook-a515ep-bq196t-i7-1165g7
Laptop Acer Nitro Gaming AN515-57-56S5 i5 11400H/8GB/512GB SSD/15.6''FHD/Nvidia GTX1650-4GB/Win11 (No.00781571),23999000,Acer,Intel Core i5-11400H 4.50 GHz,8,15.6,NVIDIA GeForce GTX 1650 4 GB,SDD,512,Window,2.2,Trung Quốc,2021,FPTShop,https://fptshop.com.vn/may-tinh-xach-tay/acer-nitro-gaming-an515-57-56s5-i5-11400h
"Laptop Dell Inspiron N3511 i5 1135G7/8GB/512GB/15.6""FHD/MX350 2GB/Win 10+Office Home Student (No.00784631)",22999000,Dell,Intel Core i5-1135G7 4.2GHz,8,15.6,NVIDIA GeForce MX250 2 GB & Intel Iris Xe Graphics,SDD,512,Window,1.7,Trung Quốc,2021,FPTShop,https://fptshop.com.vn/may-tinh-xach-tay/dell-inspiron-n3511-i5-1135g7-mx350
"Laptop Asus Vivobook Pro M3401QA-KM040T R7 5800H/8GB/512GB SSD/14"" OLED WQXGA+/Win10 (No.00776409)",22999000,Asus,AMD Ryzen 7-5800H 4.4 GHz,8,14,AMD Radeon Graphics,SDD,512,Window,1.4,Trung Quốc,2021,FPTShop,https://fptshop.com.vn/may-tinh-xach-tay/asus-vivobook-pro-m3401qa-km040t-r7-5800h
Laptop Acer Nitro Gaming AN515 45 R3SM R5 5600H/8G/512GB SSD/GTX1650-4GB/Win10 (No.00750982),23499000,Acer,AMD Ryzen 5-5600H 4.2GHz,8,15.6,NVIDIA GeForce GTX 1650 4 GB & AMD Radeon Graphics,SDD,512,Window,2.2,Trung Quốc,2021,FPTShop,https://fptshop.com.vn/may-tinh-xach-tay/acer-nitro-gaming-an515-45-r3sm-r5-5600h
"Laptop HP Pavilion 15 eg0504TU i7 1165G7/8GB/512GB/15.6""FHD/Win 11 (No.00776691)",22699000,HP,Intel Core i7-1165G7 4.70 GHz,8,15.6,Intel Iris Xe Graphics,SDD,512,Window,1.7,Trung Quốc,2021,FPTShop,https://fptshop.com.vn/may-tinh-xach-tay/hp-pavilion-15-eg0504tu-i7-1165g7?he-dieu-hanh=win-11
Laptop Dell Inspiron N3501 i5 1135G7/8GB/512GB/GF MX330 2GB/15.6FHD/Win 10+Office Home&Student (No.00775286),22499000,Dell,Intel Core i5-1135G7 4.2GHz,8,15.6,NVIDIA GeForce MX330 2 GB & Intel Iris Xe Graphics,SDD,512,Window,2,Trung Quốc,2020,FPTShop,https://fptshop.com.vn/may-tinh-xach-tay/dell-inspiron-n3501-i5-1135g7-win10
"Laptop MSI Modern 14 B11SBU 668VN i5 1155G7/8GB/512GB/14""FHD/MX450_2GB/Win 10 (No.00784499)",22499000,MSI,Intel Core i5-1155G7 4.5GHz,8,14,NVIDIA GeForce MX450 2GB & Intel Iris Xe Graphics,SDD,512,Window,1.3,Trung Quốc,2021,FPTShop,https://fptshop.com.vn/may-tinh-xach-tay/msi-modern-14-b11sbu-668vn-i5-1155g7
"Laptop MSI Gaming Bravo 15 B5DD 276VN R5 5600H/8GB/512GB/15.6""FHD/RX5500M_4GB/Win 11 (No.00784625)",22499000,MSI,AMD Ryzen 5-5600H 4.2GHz,8,14,AMD Radeon RX 5500M 4 GB & AMD Radeon Graphics Vega 8,SDD,512,Window,2.4,Trung Quốc,2021,FPTShop,https://fptshop.com.vn/may-tinh-xach-tay/msi-gaming-bravo-15-b5dd-276vn-r5-5600h
"Laptop MSI Gaming Bravo 15 B5DD 217VN R5 5600H/8GB/512GB/15.6""FHD/RX5500M 4GB/Win 11 (No.00783652)",21999000,MSI,AMD Ryzen 5-5600H 4.2GHz,8,15.6,AMD Radeon RX 5500M 4 GB,SDD,512,Window,2.4,Trung Quốc,2021,FPTShop,https://fptshop.com.vn/may-tinh-xach-tay/msi-gaming-bravo-15-b5dd-217vn-r5-5600h
"Laptop MSI Modern 14 B11MOU 460VN i7 1165G7/8GB/512GB/14""FHD/Win 10 (No.00772098)",21999000,MSI,Intel Core i7-1195G7 5GHz,8,14,Intel Iris Xe Graphics,SDD,512,Window,1.3,Trung Quốc,2021,FPTShop,https://fptshop.com.vn/may-tinh-xach-tay/msi-modern-14-b11mou-460vn-i7-1165g7
Laptop Acer Aspire Gaming A715-42G-R05G R5 5500U/8GB/512GB SSD/Nvidia GTX1650 4GB/Win11 (No.00783547),21999000,Acer,AMD Ryzen 5-5500U 4 GHz,8,15.6,NVIDIA GeForce GTX 1650 4 GB & AMD Radeon Graphics,SDD,512,Window,2.1,Trung Quốc,2021,FPTShop,https://fptshop.com.vn/may-tinh-xach-tay/acer-aspire-gaming-a715-42g-r05g-r5-5500u
"Laptop MSI Modern 15 A5M 235VN R7 5700U/8GB/512GB/15.6""FHD/Win 11 (No.00783935)",19990000,MSI,AMD Ryzen 7-5700U 4.3GHz,8,15.6,AMD Radeon Graphics,SDD,512,Window,1.6,Trung Quốc,2021,FPTShop,https://fptshop.com.vn/may-tinh-xach-tay/msi-modern-15-a5m-235vn-r7-5700u
Laptop Asus Vivobook Flip TM420UA-EC024T R7 5700U/8GB/512GB SSD/14''FHD touch/Win10 (No.00781572),20499000,Asus,AMD Ryzen 7-5700U 4.3GHz,8,14,AMD Radeon Graphics,SDD,512,Window,1.5,Trung Quốc,2021,FPTShop,https://fptshop.com.vn/may-tinh-xach-tay/asus-vivobook-flip-tm420ua-ec024t-r7-5700u
"Laptop Dell Inspiron N5415 R5 5500U/8GB/256GB/14""FHD/Win 10+Office Home& Student (No.00781536)",19799000,Dell,AMD Ryzen 5-5500U 4 GHz,8,14,AMD Radeon Graphics,SDD,256,Window,1.4,Trung Quốc,2021,FPTShop,https://fptshop.com.vn/may-tinh-xach-tay/dell-inspiron-n5415-r5-5500u
Laptop Acer Aspire Gaming A715-42G-R1SB R5 5500U/8GB/256GB SSD/Nvidia GTX1650 4GB/Win10 (No.00782651),20999000,Acer,AMD Ryzen 5-5500U 4 GHz,8,15.6,NVIDIA GeForce GTX 1650 4 GB & AMD Radeon Graphics,SDD,256,Window,2.1,Trung Quốc,2021,FPTShop,https://fptshop.com.vn/may-tinh-xach-tay/acer-aspire-gaming-a715-42g-r1sb-r5-5500u
Laptop Acer Swift 3 SF314-43-R4X3 R5 5500U/16GB/512GB SSD/Win11 (No.00783546),20999000,Acer,AMD Ryzen 5-5500U 4 GHz,16,14,AMD Radeon Graphics,SDD,512,Window,1.2,Trung Quốc,2021,FPTShop,https://fptshop.com.vn/may-tinh-xach-tay/acer-swift-3-sf314-43-r4x3-r5-5500u
Laptop Asus Vivobook A515EP-BQ496T i5 1135G7/8GB/512GB SSD/Nvidia MX330 2GB/Win10 (No.00773278),20099000,Asus,Intel Core i5-1135G7 4.2GHz,8,15.6,NVIDIA GeForce MX330 2 GB & Intel Iris Xe Graphics,SDD,512,Window,1.8,Trung Quốc,2021,FPTShop,https://fptshop.com.vn/may-tinh-xach-tay/asus-vivobook-a515ep-bq496t-i5-1135g7-mx330-2gb
Laptop Asus VivoBook M413IA-EK481T R7 4700U/8GB/1TB SSD/WIN10 (No.00711464),19999000,Asus,AMD Ryzen 7-4700U 4.2GHz,8,14,AMD Radeon Graphics,SDD,1000,Window,1.5,Trung Quốc,2020,FPTShop,https://fptshop.com.vn/may-tinh-xach-tay/asus-vivobook-m413ia-ek481t-r7-4700u
"Laptop Dell Vostro V5515 R3 5300U/8GB/256GB/15.6""FHD/Win 10+Office Home& Student (No.00781535)",18599000,Dell,AMD Ryzen 3-5300U 3.8GHz,8,15.6,AMD Radeon Graphics,SDD,256,Window,1.7,Trung Quốc,2021,FPTShop,https://fptshop.com.vn/may-tinh-xach-tay/dell-vostro-v5515-r3-5300u
"Microsoft Surface Laptop Go i5 1035G1/8GB/128GB/12.4"" Touch/Win10 (No.00775354)",19999000,Microsoft,Intel Core i5-1035G1 3.6GHz,8,12.4,Intel UHD Graphics,SDD,128,Window,1.1,Trung Quốc,2020,FPTShop,https://fptshop.com.vn/may-tinh-xach-tay/microsoft-surface-go-i5-1035g1?dung-luong=128gb
"Laptop HP Pavilion 14 dv0510TU i5 1135G7/8GB/512GB/14""FHD/Win 10 (No.00781184)",18499000,HP,Intel Core i5-1135G7 4.2GHz,8,14,Intel Iris Xe Graphics,SDD,512,Window,1.4,Trung Quốc,2021,FPTShop,https://fptshop.com.vn/may-tinh-xach-tay/hp-pavilion-14-dv0510tu-i5-1135g7?he-dieu-hanh=win-10
Laptop Asus Vivobook X515EP-BQ189T i5 1135G7/ 8GB/512GB SSD/Nvidia MX330 2GB/Win10 (No.00773279),18999000,Asus,Intel Core i5-1135G7 4.2GHz,8,15.6,NVIDIA GeForce MX330 2 GB & Intel Iris Xe Graphics,SDD,512,Window,1.8,Trung Quốc,2021,FPTShop,https://fptshop.com.vn/may-tinh-xach-tay/asus-vivobook-x515ep-bq189t-i5-1135g7
"Laptop MSI Modern 15 A5M 234VN R5 5500U/8GB/512GB/15.6""FHD/Win 11 (No.00783936)",17999000,MSI,AMD Ryzen 5-5500U 4 GHz,8,15.6,AMD Radeon Graphics,SDD,512,Window,1.6,Trung Quốc,2021,FPTShop,https://fptshop.com.vn/may-tinh-xach-tay/msi-modern-15-a5m-234vn-r5-5500u
"Laptop Lenovo ThinkBook 14 G3 ACL R5 5500U/8GB/512GB/14""FHD/Win 10 (No.00772299)",18699000,Lenovo,AMD Ryzen 5-5500U 4 GHz,8,14,AMD Radeon Graphics,SDD,512,Window,1.4,Trung Quốc,2021,FPTShop,https://fptshop.com.vn/may-tinh-xach-tay/lenovo-thinkbook-14-g3-acl-r5-5500u
Laptop Asus Vivobook X515EA BQ993T i5 1135G7/8GB/512GB SSD/Win10 (No.00765103),18199000,Asus,Intel Core i5-1135G7 4.2GHz,8,15.6,Intel Iris Xe Graphics,SDD,512,Window,1.8,Trung Quốc,2021,FPTShop,https://fptshop.com.vn/may-tinh-xach-tay/asus-vivobook-x515ea-bq993t-i5-1135g7
Laptop HP 340s G7 i5 1035G1/8GB/256GB/14.0FHD/Win 10 (No.00773276),17199000,HP,Intel Core i5-1035G1 3.6GHz,8,14,Intel UHD Graphics,SDD,256,Window,1.3,Trung Quốc,2021,FPTShop,https://fptshop.com.vn/may-tinh-xach-tay/hp-340s-g7-i5-1035g1
"Laptop MSI Modern 14 B5M 202VN/R5 5500U/8GB/512GB/14""FHD/Win 11 (No.00783934)",16999000,MSI,AMD Ryzen 5-5500U 4 GHz,8,14,AMD Radeon Graphics,SDD,512,Window,1.3,Trung Quốc,2021,FPTShop,https://fptshop.com.vn/may-tinh-xach-tay/msi-modern-14-b5m-202vn-r5-5500u
"Laptop HP 15s fq2561TU i5 1135G7/8GB/512GB/15.6""HD/Win 11 (No.00784572)",16999000,HP,Intel Core i5-1135G7 4.2GHz,8,15.6,Intel Iris Xe Graphics,SDD,512,Window,1.8,Trung Quốc,2021,FPTShop,https://fptshop.com.vn/may-tinh-xach-tay/hp-15s-fq2561tu-i5-1135g7?he-dieu-hanh=win-11
"Laptop HP 245 G8 R5 5500U/8GB/512GB/14""FHD/Win 10 (No.00784497)",16699000,HP,AMD Ryzen 5-5500U 4 GHz,8,14,AMD Radeon Graphics,SDD,512,Window,1.5,Trung Quốc,2021,FPTShop,https://fptshop.com.vn/may-tinh-xach-tay/hp-245-g8-r5-5500u
"Laptop MSI Modern 14 B5M R5 5500U/8GB/512GB/AMD Radeon Graphics/14""FHD/Win 10 (No.00772986)",17299000,MSI,AMD Ryzen 5-5500U 4 GHz,8,14,AMD Radeon Graphics,SDD,512,Window,1.3,Trung Quốc,2021,FPTShop,https://fptshop.com.vn/may-tinh-xach-tay/msi-modern-14-b5m-r5-5500u-win-10
Laptop Acer Aspire 3 A315-57G-524Z i5 1035G1/8GB/512GB SSD/MX330-2G/Win10 (No.00732389),16999000,Acer,Intel Core i5-1035G1 3.6GHz,8,15.6,NVIDIA GeForce MX330 2 GB & Intel UHD Graphics,SDD,512,Window,1.9,Trung Quốc,2020,FPTShop,https://fptshop.com.vn/may-tinh-xach-tay/acer-aspire-3-a315-57g-524z-i5-1035g1
"Laptop HP 15s-fq2602TU/Core i5-1135G7/8GB/256GB/15.6""HD/Win 11 (No.00784573)",15999000,HP,Intel Core i5-1135G7 4.2GHz,8,15.6,Intel Iris Xe Graphics,SDD,256,Window,1.8,Trung Quốc,2021,FPTShop,https://fptshop.com.vn/may-tinh-xach-tay/hp-15s-fq2602tu-i5-1135g7?he-dieu-hanh=win-11
Laptop Asus Vivobook A515EA-BN1688T i3 1115G4/8GB/256GB SSD/Win10 (No.00773277),15999000,Asus,Intel Core i3-1115G4 4.1GHz,8,15.6,Intel UHD Graphics,SDD,256,Window,1.8,Trung Quốc,2021,FPTShop,https://fptshop.com.vn/may-tinh-xach-tay/asus-vivobook-a515ea-bn1688t-i3-1115g4
Laptop Asus Vivobook X515EA BQ1005T i3 1115G4/8GB/512GB SSD/Win10 (No.00765105),14999000,Asus,Intel Core i3-1115G4 4.1GHz,8,15.6,Intel UHD Graphics,SDD,512,Window,1.8,Trung Quốc,2021,FPTShop,https://fptshop.com.vn/may-tinh-xach-tay/asus-vivobook-x515ea-bq1005t-i3-1115g4
Laptop Lenovo IdeaPad Slim 3 15ADA05 R5 3500U/8GB/512GB SSD/15.6HD/Win 10 (No.00783879),14499000,Lenovo,AMD Ryzen 5-3500U 3.7GHz,8,15.6,AMD Radeon Graphics Vega 8,SDD,512,Window,1.9,Trung Quốc,2021,FPTShop,https://fptshop.com.vn/may-tinh-xach-tay/lenovo-ideapad-slim-3-15ada05-r5-3500u
"Laptop MSI Modern 14 B11MOU 850VN i3 1115G4/8GB/256GB/14""FHD/Win 10 (No.00776408)",14699000,MSI,Intel Core i3-1115G4 4.1GHz,8,14,Intel UHD Graphics,SDD,256,Window,1.3,Trung Quốc,2021,FPTShop,https://fptshop.com.vn/may-tinh-xach-tay/msi-modern-14-b11mou-850vn-i3-1115g4
Laptop Acer Aspire A315 57G 31YD i3 1005G1/4GB/256GB SSD/Nvidia MX330 2GB/Win10 (No.00741401),13490000,Acer,Intel Core i3-1005G1 3.4GHz,4,15.6,NVIDIA GeForce MX330 2 GB & Intel UHD Graphics,SDD,256,Window,1.7,Trung Quốc,2021,FPTShop,https://fptshop.com.vn/may-tinh-xach-tay/acer-aspire-a315-57g-31yd-i3-1005g1
"Laptop Dell Inspiron N3502 Pentium N5030/4GB/128GB/15.6""HD/Intel HD/Win 10/NK (No.00780808)",11699000,Dell,Intel Pentium N5030 3.10 GHz,4,15.6,Intel UHD Graphics 605,SDD,128,Window,1.8,Trung Quốc,2020,FPTShop,https://fptshop.com.vn/may-tinh-xach-tay/dell-inspiron-n3502-pentium-n5030-win-10-nk
"Laptop Dell Inspiron N3510 N4020/4GB/128GB/15.6""HD/Intel HD/Win 10/91K5_NK (No.00780776)",10999000,Dell,Intel Celeron N4020 2.80 GHz,4,15.6,Intel UHD Graphics 600,SDD,128,Window,1.7,Trung Quốc,2021,FPTShop,https://fptshop.com.vn/may-tinh-xach-tay/dell-inspiron-n3510-n4020-nk
Laptop Asus Flip BR1100FKA-BP0660T N6000/4GB/128GB eMMc/11.6'' HD Touch/Win10 (No.00783938),10499000,Asus,Intel Pentium N6000 2GHz,4,11.6,Intel UHD Graphics,SDD,64,Window,1.4,Trung Quốc,2021,FPTShop,https://fptshop.com.vn/may-tinh-xach-tay/asus-flip-br1100fka-bp0660t-n6000
