Product,Price,Brand,Core,RAM,ScrSize,GraphicCard,Drive_Type,Capacity,OperSystem,Weight,Madein,Since,Shop,URL
Laptop MSI Gaming GF65 10UE 286VN i5 10500H/16GB/512GB/15.6FHD/RTX 3060 Max-Q 6Gb/Win 10 (No.00752176),29699000,MSI,Intel Core i5-10500H 4.50 GHz,16,15.6,NVIDIA GeForce RTX 3060 Max-Q 6GB,SDD,512,Window,1.9,Trung Quốc,2021,FPTShop,https://fptshop.com.vn/may-tinh-xach-tay/msi-gaming-gf65-10ue-286vn-i5-10500h
Laptop Acer Nitro Gaming AN515-57-54MV i5 11400H/8GB/512GB SSD/RTX 3050 4GB/Win11 (No.00775122),26499000,Acer,Intel Core i5-11400H 4.50 GHz,8,15.6,NVIDIA GeForce RTX 3050 4GB & Intel Iris Xe Graphics,SDD,512,Window,2.2,Trung Quốc,2021,FPTShop,https://fptshop.com.vn/may-tinh-xach-tay/acer-nitro-gaming-an515-57-54mv-i5-11400h
"Laptop HP Envy 13 ba1535TU i7 1165G7/8GB/512GB/13.3""FHD/Win 10 (No.00773702)",29899000,HP,Intel Core i7-1165G7 4.70 GHz,8,13.3,Intel Iris Xe Graphics,SDD,512,Window,1.2,Trung Quốc,2021,FPTShop,https://fptshop.com.vn/may-tinh-xach-tay/hp-envy-13-ba1535tu-i7-1165g7
"Laptop MSI Katana GF76 11UC 096VN i7 11800H/8GB/512GB/17.3""FHD/RTX3050 4Gb/Win 10 (No.00760885)",30299000,MSI,Intel Core i7-11800H 4.60 GHz,8,17.3,NVIDIA GeForce RTX 3050 4GB,SDD,512,Window,2.6,Trung Quốc,2021,FPTShop,https://fptshop.com.vn/may-tinh-xach-tay/msi-katana-gf76-11uc-096vn-i7-11800h
"Laptop IdeaPad Slim 3 15ITL6 i5 1135G7/8GB/512GB/15.6""FHD/Win 10 (No.00748425)",17999000,Lenovo,Intel Core i5-1135G7 4.20 GHz,8,15.6,Intel Iris Xe Graphics,SDD,512,Window,1.7,Trung Quốc,2021,FPTShop,https://fptshop.com.vn/may-tinh-xach-tay/lenovo-ideapad-slim-3-15itl6-i5-1135g7
Laptop Lenovo Yoga Slim 7 14ITL05 i5 1135G7/16GB/512GB/14”FHD/Win 10 (No.00736610),25199000,Lenovo,Intel Core i5-1135G7 4.20 GHz,16,14,Intel Iris Xe Graphics,SDD,512,Window,1.4,Trung Quốc,2021,FPTShop,https://fptshop.com.vn/may-tinh-xach-tay/lenovo-yoga-slim-7-14itl05-i5-1135g7
Laptop Acer Aspire Gaming A715 42G R4ST R5 5500U/8GB/256GB SSD/Nvidia GTX1650 4GB/Win10 (No.00745029),19999000,Acer,AMD Ryzen 5-5500U 4 GHz,8,15.6,NVIDIA GeForce GTX 1650 4 GB & AMD Radeon Graphics,SDD,256,Window,2.1,Trung Quốc,2021,FPTShop,https://fptshop.com.vn/may-tinh-xach-tay/acer-aspire-gaming-a715-42g-r4st-r5-5500u
"Laptop Dell Inspiron N3501C i3 1115G4/4GB/256GB/15.6""FHD/Win 10 (No.00740141)",14999000,Dell,Intel Core i3-1115G4 4.10 GHz,4,15.6,Intel UHD Graphics,SDD,256,Window,2,Trung Quốc,2021,FPTShop,https://fptshop.com.vn/may-tinh-xach-tay/dell-inspiron-n3501c-i3-1115g4
Laptop HP Pavilion 15 eg0509TU i3 1125G4/4GB/512GB/15.6''FHD/Win 10 (No.00768699),15999000,HP,Intel Core i3-1125G4 3.70 GHz,4,15.6,Intel UHD Graphics,SDD,512,Window,1.7,Trung Quốc,2021,FPTShop,https://fptshop.com.vn/may-tinh-xach-tay/hp-pavilion-15-eg0509tu-i3-1125g4
"Laptop Dell Vostro V3405 R5 3500U/4GB/256GB/14""FHD/Win 10 (No.00725639)",16499000,Dell,AMD Ryzen 5-3500U 3.7 GHz,4,14,AMD Radeon Graphics Vega 8,SDD,256,Window,1.7,Trung Quốc,2020,FPTShop,https://fptshop.com.vn/may-tinh-xach-tay/dell-vostro-v3405-r5-3500u-256gb
