id,brand,cpu,cpu_GHz,cpu_brand,ram,scrsize,gpu,gpu_brand,memory,drive_type,opersystem,weight,since,shop,price,url
72,ACER,Intel i7,4.6,Intel,8,15.6,NVIDIA GeForce RTX,NVIDIA,512,SDD,Window,2.2,2021,FPTShop,28999000,https://fptshop.com.vn/may-tinh-xach-tay/acer-nitro-gaming-an515-57-71vv-i7-11800h
73,ASUS,Intel i5,4.2,Intel,8,13.3,Intel Iris,Intel,512,SDD,Window,1.3,2021,FPTShop,27999000,https://fptshop.com.vn/may-tinh-xach-tay/asus-zenbook-flip-ux363ea-hp532t-i5-1135g7
74,ASUS,Intel i5,4.2,Intel,8,13.3,Intel Iris,Intel,512,SDD,Window,1.3,2021,FPTShop,27999000,https://fptshop.com.vn/may-tinh-xach-tay/asus-zenbook-flip-ux363ea-hp726w-i5-1135g7
75,ASUS,AMD Ryzen 5,4.2,AMD,8,15.6,NVIDIA GeForce RTX,NVIDIA,512,SDD,Window,1.7,2021,FPTShop,26599000,https://fptshop.com.vn/may-tinh-xach-tay/asus-vivobook-pro-m3500qc-l1105t-r5-5600h
76,DELL,Intel i7,4.7,Intel,8,15.6,Intel Iris,Intel,512,SDD,Window,1.7,2021,FPTShop,26499000,https://fptshop.com.vn/may-tinh-xach-tay/dell-inspiron-n3511-i7-1165g7
77,GIGABYTE,Intel i7,5.0,Intel,16,14.0,Intel Iris,Intel,512,SDD,Window,1.0,2021,FPTShop,26999000,https://fptshop.com.vn/may-tinh-xach-tay/gigabyte-u4-ud-i7-1195g7
78,DELL,Intel i7,4.7,Intel,8,14.0,Intel Iris,Intel,512,SDD,Window,1.8,2021,FPTShop,25999000,https://fptshop.com.vn/may-tinh-xach-tay/dell-vostro-v3400-i7-1165g7
79,LENOVO,AMD Ryzen 7,4.4,AMD,8,14.0,AMD Radeon,AMD,512,SDD,Window,1.5,2021,FPTShop,26999000,https://fptshop.com.vn/may-tinh-xach-tay/lenovo-yoga-7-14acn6-r7-5800u
80,HP,Intel i7,4.7,Intel,16,14.0,Intel Iris,Intel,512,SDD,Window,1.4,2021,FPTShop,25190000,https://fptshop.com.vn/may-tinh-xach-tay/hp-probook-440-g8-i7-1165g7
81,GIGABYTE,Intel i5,4.5,Intel,16,15.6,NVIDIA GeForce RTX,NVIDIA,512,SDD,Window,2.2,2021,FPTShop,26999000,https://fptshop.com.vn/may-tinh-xach-tay/gigabyte-gaming-g5-gd-i5-11400h
82,MICROSOFT,Intel i5,3.7,Intel,8,12.3,Intel Iris,Intel,128,SDD,Window,0.8,2019,FPTShop,25999000,https://fptshop.com.vn/may-tinh-xach-tay/microsoft-surface-pro-7-core-i5-1035g4?dung-luong=128gb
83,ASUS,Intel i5,4.5,Intel,8,15.6,NVIDIA GeForce RTX,NVIDIA,512,SDD,Window,2.3,2021,FPTShop,25999000,https://fptshop.com.vn/may-tinh-xach-tay/asus-gaming-tuf-fx506hcb-hn1138w-i5-11400h
84,ASUS,Intel i5,4.5,Intel,8,15.6,NVIDIA GeForce RTX,NVIDIA,512,SDD,Window,2.3,2021,FPTShop,25990000,https://fptshop.com.vn/may-tinh-xach-tay/asus-gaming-tuf-fx506hcb-hn139t-i5-11400h
85,MSI,AMD Ryzen 7,4.4,AMD,8,15.6,AMD Radeon,AMD,512,SDD,Window,2.4,2021,FPTShop,25499000,https://fptshop.com.vn/may-tinh-xach-tay/msi-gaming-bravo-15-b5dd-275vn-r7-5800h
86,DELL,Intel i7,4.7,Intel,8,15.6,Intel Iris,Intel,512,SDD,Window,2.0,2020,FPTShop,24599000,https://fptshop.com.vn/may-tinh-xach-tay/dell-inspiron-n3501-i7-1165g7-win10
87,FUJITSU,Intel i5,4.2,Intel,8,13.3,Intel Iris,Intel,512,SDD,Window,1.0,2021,FPTShop,23799000,https://fptshop.com.vn/may-tinh-xach-tay/fujitsu-ch-9c13a1-i5-1135g7
